;mass A;;
t;x;y;
0.000;-36.48;663.1
0.033;-34.51;662.1
0.067;-27.56;660.4
0.100;-15.32;658.3
0.133;-0.579;655.4
0.167;20.11;651.0
0.200;43.59;644.9
0.233;71.40;639.2
0.267;102.3;633.1
0.300;135.8;625.9
0.333;172.1;617.5
0.367;213.1;607.3
0.400;258.7;595.9
0.433;308.4;582.3
0.467;362.7;565.3
0.500;424.9;547.9
0.533;486.4;520.1
0.567;558.0;489.9
0.600;634.3;453.7
0.633;719.6;418.3
0.667;813.9;385.8
0.700;911.0;356.6
0.733;1.019E3;331.3
0.767;1.131E3;315.1
0.800;1.244E3;313.4
0.833;1.357E3;321.8
0.867;1.470E3;337.5
0.900;1.571E3;358.3
0.933;1.673E3;383.5
0.967;1.764E3;408.2
1.000;1.855E3;432.9
1.033;1.941E3;448.1
1.067;2.026E3;457.6
1.100;2.110E3;460.4
1.133;2.193E3;458.8
1.167;2.279E3;450.3
1.200;2.366E3;436.9
1.233;2.456E3;416.7
1.267;2.550E3;398.7
1.300;2.649E3;379.1
1.333;2.753E3;363.3
1.367;2.861E3;356.0
1.400;2.963E3;360.5
1.433;3.064E3;377.9
1.467;3.158E3;404.3
1.500;3.245E3;432.4
1.533;3.322E3;462.1
