;mass A;;
t;x;y;
0.000;-29.57;656.6
0.033;-29.55;657.0
0.067;-28.51;657.3
0.100;-19.91;655.3
0.133;-7.980;652.8
0.167;9.179;649.3
0.200;28.17;644.6
0.233;50.27;639.5
0.267;76.01;633.6
0.300;105.0;627.0
0.333;139.2;619.9
0.367;177.0;611.6
0.400;218.6;601.7
0.433;264.0;591.0
0.467;314.5;577.5
0.500;369.1;561.3
0.533;430.5;543.9
0.567;492.5;516.3
0.600;562.9;486.3
0.633;636.4;451.1
0.667;720.4;411.1
0.700;811.4;378.1
0.733;915.4;348.1
0.767;1.021E3;323.1
0.800;1.129E3;308.1
0.833;1.240E3;305.1
0.867;1.355E3;309.1
0.900;1.467E3;327.1
0.933;1.569E3;347.1
0.967;1.667E3;370.1
1.000;1.763E3;395.1
1.033;1.855E3;419.1
1.067;1.940E3;438.1
1.100;2.023E3;446.1
1.133;2.109E3;450.1
1.167;2.192E3;449.1
1.200;2.277E3;441.1
1.233;2.366E3;428.1
1.267;2.454E3;412.1
1.300;2.548E3;392.1
1.333;2.642E3;373.1
1.367;2.747E3;356.1
1.400;2.852E3;345.1
1.433;2.954E3;351.1
1.467;3.058E3;368.1
1.500;3.152E3;388.1
1.533;3.237E3;423.1
1.567;3.314E3;447.1
1.600;3.392E3;484.2
