;mass A;;
t;x;y;
0.033;-1.722E3;-281.5
0.067;-1.720E3;-282.8
0.100;-1.712E3;-284.6
0.133;-1.699E3;-287.5
0.167;-1.682E3;-290.7
0.200;-1.662E3;-295.5
0.233;-1.636E3;-300.5
0.267;-1.607E3;-306.6
0.300;-1.576E3;-312.8
0.333;-1.542E3;-320.7
0.367;-1.504E3;-329.5
0.400;-1.462E3;-339.5
0.433;-1.415E3;-350.8
0.467;-1.365E3;-365.9
0.500;-1.310E3;-382.0
0.533;-1.249E3;-402.6
0.567;-1.183E3;-430.3
0.600;-1.111E3;-460.2
0.633;-1.031E3;-498.0
0.667;-948.0;-534.0
0.700;-855.0;-569.0
0.733;-751.0;-600.0
0.767;-645.0;-620.0
0.800;-533.0;-634.0
0.833;-418.0;-634.0
0.867;-309.0;-627.0
0.900;-197.0;-610.0
0.933;-94.00;-586.0
0.967;1.000;-561.0
1.000;95.00;-535.0
1.033;184.0;-512.0
1.067;268.7;-496.7
1.100;353.1;-487.7
1.133;437.5;-485.1
1.167;521.8;-488.2
1.200;606.3;-497.0
1.233;697.0;-514.0
1.267;788.0;-533.0
1.300;880.0;-553.0
1.333;980.0;-571.0
1.367;1.083E3;-587.0
1.400;1.192E3;-595.0
1.433;1.292E3;-583.0
1.467;1.395E3;-565.0
1.500;1.485E3;-537.1
1.533;1.570E3;-510.2
1.567;1.653E3;-478.6
